,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.10899847483477376,0.1934926283680732,0.047381799694966954,0.43470149253731344,2.2466049285887952,0.026291398311075295,1.4266929082333752
1,frozenset({'other vegetables'}),frozenset({'root vegetables'}),0.1934926283680732,0.10899847483477376,0.047381799694966954,0.24487651077246453,2.2466049285887957,0.026291398311075295,1.1799414769585426
2,frozenset({'whipped/sour cream'}),frozenset({'other vegetables'}),0.07168276563294357,0.1934926283680732,0.02887646161667514,0.40283687943262414,2.081923651718265,0.0150063748856643,1.3505646009513264
3,frozenset({'other vegetables'}),frozenset({'whipped/sour cream'}),0.1934926283680732,0.07168276563294357,0.02887646161667514,0.14923804519180242,2.081923651718265,0.0150063748856643,1.0911597881411417
4,frozenset({'pip fruit'}),frozenset({'tropical fruit'}),0.07564819522114896,0.10493136756481952,0.02043721403152008,0.2701612903225806,2.5746475681420353,0.012499345453154474,1.2263923803531753
5,frozenset({'tropical fruit'}),frozenset({'pip fruit'}),0.10493136756481952,0.07564819522114896,0.02043721403152008,0.1947674418604651,2.5746475681420353,0.012499345453154474,1.147931483191064
6,frozenset({'yogurt'}),frozenset({'tropical fruit'}),0.13950177935943062,0.10493136756481952,0.029283172343670564,0.20991253644314867,2.0004746084480303,0.014645059857759797,1.1328728447426821
7,frozenset({'tropical fruit'}),frozenset({'yogurt'}),0.10493136756481952,0.13950177935943062,0.029283172343670564,0.27906976744186046,2.0004746084480303,0.014645059857759797,1.1935943060498222
8,frozenset({'whipped/sour cream'}),frozenset({'yogurt'}),0.07168276563294357,0.13950177935943062,0.02074224707676665,0.2893617021276596,2.0742509769865394,0.010742373721565982,1.210880729643915
9,frozenset({'yogurt'}),frozenset({'whipped/sour cream'}),0.13950177935943062,0.07168276563294357,0.02074224707676665,0.14868804664723032,2.0742509769865394,0.010742373721565982,1.090454833520207
10,"frozenset({'root vegetables', 'whole milk'})",frozenset({'other vegetables'}),0.048906964921199794,0.1934926283680732,0.023182511438739197,0.47401247401247404,2.4497701954349353,0.013719374250631092,1.5333203389523984
11,"frozenset({'whole milk', 'other vegetables'})",frozenset({'root vegetables'}),0.07483477376715811,0.10899847483477376,0.023182511438739197,0.30978260869565216,2.84208204899416,0.015025635233513626,1.2908998474834772
12,frozenset({'root vegetables'}),"frozenset({'whole milk', 'other vegetables'})",0.10899847483477376,0.07483477376715811,0.023182511438739197,0.2126865671641791,2.84208204899416,0.015025635233513626,1.1750913773952685
13,frozenset({'other vegetables'}),"frozenset({'root vegetables', 'whole milk'})",0.1934926283680732,0.048906964921199794,0.023182511438739197,0.11981082501313715,2.4497701954349353,0.013719374250631092,1.0805552511969891
14,"frozenset({'whole milk', 'yogurt'})",frozenset({'other vegetables'}),0.05602440264361973,0.1934926283680732,0.02226741230299949,0.39745916515426494,2.0541307878571704,0.01142710338273428,1.3385107282204567
15,"frozenset({'whole milk', 'other vegetables'})",frozenset({'yogurt'}),0.07483477376715811,0.13950177935943062,0.02226741230299949,0.2975543478260869,2.132978870896184,0.011827828204520493,1.225003269615975
16,"frozenset({'yogurt', 'other vegetables'})",frozenset({'whole milk'}),0.04341637010676157,0.25551601423487547,0.02226741230299949,0.5128805620608898,2.0072345116867694,0.01117383446077358,1.528339720777443
17,frozenset({'whole milk'}),"frozenset({'yogurt', 'other vegetables'})",0.25551601423487547,0.04341637010676157,0.02226741230299949,0.08714683645045761,2.0072345116867694,0.01117383446077358,1.0479052580303871
18,frozenset({'yogurt'}),"frozenset({'whole milk', 'other vegetables'})",0.13950177935943062,0.07483477376715811,0.02226741230299949,0.1596209912536443,2.132978870896184,0.011827828204520493,1.1008904513369115
19,frozenset({'other vegetables'}),"frozenset({'whole milk', 'yogurt'})",0.1934926283680732,0.05602440264361973,0.02226741230299949,0.11508145034156594,2.0541307878571704,0.01142710338273428,1.06673726945914
